=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 01:54:52 =~=~=~=~=~=~=~=~=~=~=~=
,-20.91
1161.15,-20.91
1161.15,-21.88
1161.15,-20.91
1161.15,-20.16
1161.16,-21.45
1161.16,-21.45
1161.16,-21.02
1161.16,-20.37
1161.16,-20.91
1161.16,-21.02
1161.16,-21.24
1161.16,-21.34
1161.16,-20.91
1161.18,-21.78
1161.18,-20.91
1161.18,-20.48
1161.18,-21.02
1161.18,-20.91
1161.18,-20.91
1161.18,-21.13
1161.18,-21.56
1161.18,-21.13
1161.19,-21.45
1161.19,-21.13
1161.19,-21.13
1161.19,-20.81
1161.19,-21.45
1161.19,-21.02
1161.19,-21.34
1161.19,-20.91
1161.19,-21.02
1161.19,-20.91
1161.20,-20.91
1161.20,-20.91
1161.20,-20.91
1161.20,-20.91
1161.20,-21.24
1161.20,-21.13
1161.20,-21.02
1161.20,-20.91
1161.20,-20.91
1161.21,-20.16
1161.21,-21.02
1161.21,-21.13
1161.21,-21.13
1161.22,-19.94
1161.22,-21.88
1161.22,-21.99
1161.22,-21.34
1161.22,-20.59
1161.23,-20.91
1161.23,-20.91
1161.23,-20.91
1161.23,-20.91
1161.23,-21.56
1161.23,-21.13
1161.23,-20.91
1161.23,-19.84
1161.23,-19.84
1161.23,-21.13
1161.24,-20.91
1161.24,-21.02
1161.24,-20.27
1161.24,-21.02
1161.24,-20.91
1161.24,-20.91
1161.24,-19.51
1161.24,-20.91
1161.24,-20.91
1161.25,-20.91
1161.25,-21.02
1161.25,-21.02
1161.25,-22.42
1161.25,-20.16
1161.25,-20.91
1161.25,-21.24
1161.26,-21.13
1161.26,-20.16
1161.27,-23.39
1161.27,-21.02
1161.27,-21.13
1161.27,-20.91
1161.27,-21.45
1161.27,-21.02
1161.27,-21.45
1161.27,-19.30
1161.27,-20.91
1161.27,-20.27
1161.28,-20.59
1161.28,-20.81
1161.28,-20.91
1161.28,-21.45
1161.28,-20.81
1161.28,-20.91
1161.28,-21.56
1161.28,-21.24
1161.28,-20.91
1161.29,-21.88
1161.29,-21.67
1161.29,-20.91
1161.29,-19.73
1161.29,-20.70
1161.29,-21.02
1161.29,-20.91
1161.29,-21.34
1161.29,-21.34
1161.30,-20.91
1161.31,-21.24
1161.31,-20.91
1161.31,-19.84
1161.31,-19.08
1161.31,-20.91
1161.31,-20.91
1161.31,-20.91
1161.31,-20.91
1161.31,-21.13
1161.32,-20.81
1161.32,-21.02
1161.32,-22.10
1161.32,-20.91
1161.32,-20.91
1161.32,-22.31
1161.32,-21.02
1161.32,-21.13
1161.32,-20.91
1161.33,-20.91
1161.33,-20.91
1161.33,-20.91
1161.33,-20.91
