=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:12:48 =~=~=~=~=~=~=~=~=~=~=~=
,-20.81
2236.72,-21.13
2236.72,-22.10
2236.72,-22.64
2236.73,-19.73
2236.74,-21.13
2236.74,-21.24
2236.74,-20.91
2236.74,-21.78
2236.74,-21.45
2236.74,-21.56
2236.74,-21.13
2236.74,-21.02
2236.75,-21.02
2236.75,-21.02
2236.75,-21.56
2236.75,-19.73
2236.75,-20.48
2236.75,-20.91
2236.75,-21.88
2236.75,-20.91
2236.75,-21.45
2236.76,-21.88
2236.76,-21.34
2236.76,-21.56
2236.76,-21.67
2236.76,-20.91
2236.76,-20.91
2236.76,-21.13
2236.76,-21.45
2236.76,-21.24
2236.76,-21.24
2236.77,-21.45
2236.77,-20.91
2236.77,-22.10
2236.77,-21.24
2236.77,-21.34
2236.78,-20.91
2236.78,-21.24
2236.78,-21.02
2236.78,-21.45
2236.79,-22.75
2236.79,-21.34
2236.79,-20.48
2236.79,-20.91
2236.79,-20.91
2236.79,-21.02
2236.79,-21.45
2236.79,-20.91
2236.79,-20.59
2236.80,-21.45
2236.80,-21.24
2236.80,-21.02
2236.80,-21.56
2236.80,-21.34
2236.80,-21.45
2236.80,-20.59
2236.80,-21.67
2236.80,-20.48
2236.80,-21.45
2236.81,-19.94
2236.81,-21.88
2236.81,-21.67
2236.81,-21.13
2236.81,-20.48
2236.81,-21.88
2236.81,-21.24
2236.81,-21.24
2236.81,-21.88
2236.82,-20.91
2236.82,-21.24
2236.83,-21.24
2236.83,-20.70
2236.83,-21.67
2236.83,-20.91
2236.83,-19.19
2236.83,-20.81
2236.83,-21.24
2236.84,-21.45
2236.84,-20.27
2236.84,-21.24
2236.84,-21.56
2236.84,-21.34
2236.84,-21.56
2236.84,-20.91
2236.84,-21.45
2236.84,-21.67
2236.84,-21.67
2236.85,-20.91
2236.85,-21.02
2236.85,-21.24
2236.85,-21.02
2236.85,-20.27
2236.85,-20.91
2236.85,-21.24
2236.85,-20.16
2236.85,-22.96
2236.86,-21.45
2236.86,-21.67
2236.86,-20.70
2236.86,-21.45
2236.86,-21.34
2236.86,-21.34
2236.87,-21.13
2236.87,-21.67
2236.87,-21.13
2236.88,-21.24
2236.88,-21.56
2236.88,-21.45
2236.88,-19.19
2236.88,-21.45
2236.88,-21.56
2236.88,-21.02
2236.88,-19.51
2236.88,-20.59
2236.88,-21.24
2236.89,-21.67
2236.89,-21.13
2236.89,-20.59
2236.89,-20.91
2236.89,-21.24
2236.89,-21.45
2236.89,-21.24
2236.89,-22.53
2236.89,-21.88
2236.90,-19.94
2236.90,-21.24
2236.90,-20.91
2236.90,-21.45
2236.90,-19.30
2236.90,-19.94
2236.91,-20.91
2236.91,-21.56
2236.91,-21.34
2236.92,-21.13
2236.92,-21.02
2236.92,-21.67
2236.92,-21.02
2236.92,-20.81
2236.92,-21.34
2236.92,-21.45
2236.92,-20.27
2236.92,-20.91
2236.92,-21.45
2236.93,-21.02
2236.93,-21.02
2236.93,-21.24
2236.93,-21.02
2236.93,-20.59
2236.93,-21.24
2236.93,-22.64
2236.93,-20.91
2236.93,-21.45
2236.94,-21.24
2236.94,-21.24
2236.94,-19.73
2236.94,-20.91
2236.94,-21.02
2236.94,-21.13
2236.94,-20.91
2236.94,-20.37
2236.94,-21.24
2236.96,-20.91
2236.96,-21.34
2236.96,-20.70
2236.96,-21.02
2236.96,-20.91
2236.96,-20.81
2236.96,-21.02
2236.96,-21.45
2236.96,-21.24
2236.96,-21.13
2236.97,-21.13
2236.97,-19.51
2236.97,-21.56
2236.97,-20.91
2236.97,-20.91
2236.97,-20.91
2236.97,-21.34
2236.97,-21.34
2236.97,-21.45
2236.98,-21.45
2236.98,-21.13
2236.98,-20.16
2236.98,-21.45
2236.98,-21.02
2236.98,-20.70
2236.98,-20.81
2236.98,-21.02
2236.98,-21.45
2236.99,-20.91
2236.99,-20.70
2236.99,-21.13
2236.99,-22.31
2237.00,-19.51
2237.00,-20.91
2237.00,-20.91
2237.00,-20.37
2237.00,-20.27
2237.00,-21.24
2237.01,-21.13
2237.01,-21.56
2237.01,-19.73
2237.01,-21.24
2237.01,-19.19
2237.01,-20.81
2237.01,-21.13
2237.01,-21.13
2237.01,-20.70
2237.02,-21.24
2237.02,-20.91
2237.02,-21.13
2237.02,-21.45
2237.02,-20.16
2237.02,-20.91
2237.02,-21.02
2237.02,-20.91
2237.02,-20.91
2237.03,-20.91
2237.03,-21.45
2237.03,-21.24
2237.03,-20.81
2237.03,-20.81
2237.03,-20.91
2237.03,-21.24
2237.03,-20.91
2237.03,-21.13
2237.03,-21.13
2237.05,-20.91
2237.05,-21.24
2237.05,-20.16
2237.05,-21.56
2237.05,-21.45
2237.05,-21.45
2237.05,-19.40
2237.05,-21.02
2237.05,-20.27
2237.06,-20.91
2237.06,-20.91
2237.06,-21.02
2237.06,-20.91
2237.06,-20.91
2237.06,-20.70
2237.06,-21.24
2237.06,-20.91
2237.06,-20.91
2237.07,-21.02
2237.07,-21.99
2237.07,-19.62
2237.07,-20.37
2237.07,-21.13
2237.07,-21.13
2237.07,-21.02
2237.07,-21.24
2237.07,-20.91
2237.07,-21.13
2237.08,-21.34
2237.09,-20.91
2237.09,-21.56
2237.09,-20.81
2237.09,-21.24
2237.09,-21.24
2237.09,-21.56
2237.09,-21.24
2237.09,-20.91
2237.10,-21.13
2237.10,-21.88
2237.10,-19.62
2237.10,-20.91
2237.10,-21.02
2237.10,-21.02
2237.10,-21.24
2237.10,-21.56
2237.10,-20.91
2237.11,-21.24
2237.11,-20.16
2237.11,-21.24
2237.11,-21.34
2237.11,-21.24
2237.11,-21.34
2237.11,-21.34
2237.11,-21.13
2237.11,-19.40
2237.11,-21.24
2237.12,-21.02
2237.12,-21.24
2237.12,-19.19
2237.12,-20.59
2237.12,-20.91
2237.13,-21.34
2237.13,-21.24
2237.13,-20.91
2237.13,-19.62
2237.14,-21.56
2237.14,-22.31
2237.14,-21.13
2237.14,-19.51
2237.14,-21.24
2237.14,-20.91
2237.14,-21.45
2237.14,-20.91
2237.14,-21.56
2237.15,-18.97
2237.15,-20.37
2237.15,-22.31
2237.15,-21.13
2237.15,-21.24
2237.15,-21.45
2237.15,-20.27
2237.15,-20.91
2237.15,-20.91
2237.15,-21.88
2237.16,-20.27
2237.16,-20.91
2237.16,-19.73
2237.16,-20.91
2237.16,-21.34
2237.16,-21.02
2237.16,-21.02
2237.16,-21.34
2237.16,-20.05
2237.18,-20.91
2237.18,-21.13
2237.18,-21.34
2237.18,-20.91
2237.18,-21.88
