=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.06 02:20:59 =~=~=~=~=~=~=~=~=~=~=~=,
-21.24,
2727.76,-21.13
2727.76,-20.37
2727.76,-21.13
2727.76,-20.91
2727.76,-21.02
2727.77,-21.02
2727.77,-20.91
2727.77,-21.13
2727.77,-20.81
2727.77,-21.67
2727.78,-21.56
2727.78,-19.3
2727.78,-21.34
2727.78,-21.99
2727.79,-21.88
2727.79,-19.84
2727.79,-20.91
2727.79,-21.45
2727.79,-21.45
2727.79,-20.81
2727.79,-21.34
2727.79,-21.24
2727.79,-19.19
2727.8,-21.45
2727.8,-21.67
2727.8,-21.02
2727.8,-21.24
2727.8,-21.02
2727.8,-20.7
2727.8,-21.88
2727.8,-21.45
2727.8,-21.99
2727.8,-21.56
2727.81,-21.02
2727.81,-21.67
2727.81,-20.48
2727.81,-20.7
2727.81,-21.13
2727.81,-21.88
2727.81,-21.67
2727.81,-21.13
2727.81,-20.91
2727.82,-19.84
2727.82,-20.81
2727.83,-21.67
2727.83,-21.45
2727.83,-21.45
2727.83,-20.91
2727.83,-21.45
2727.83,-21.34
2727.83,-20.7
2727.84,-21.24
2727.84,-21.13
2727.84,-19.84
2727.84,-21.24
2727.84,-21.24
2727.84,-20.7
2727.84,-21.02
2727.84,-21.88
2727.84,-22.1
2727.84,-21.34
2727.85,-21.13
2727.85,-21.88
2727.85,-21.02
2727.85,-21.02
2727.85,-21.67
2727.85,-19.08
2727.85,-21.24
2727.85,-21.67
2727.85,-21.34
2727.86,-21.24
2727.86,-21.67
2727.86,-20.91
2727.86,-21.45
2727.86,-21.56
2727.86,-21.45
2727.87,-20.91
2727.87,-21.56
2727.87,-21.67
2727.88,-20.91
2727.88,-21.45
2727.88,-21.67
2727.88,-21.56
2727.88,-21.78
2727.88,-20.48
2727.88,-21.13
2727.88,-21.56
2727.88,-20.91
2727.88,-21.88
2727.89,-20.81
2727.89,-20.91
2727.89,-21.45
2727.89,-21.24
2727.89,-20.81
2727.89,-20.91
2727.89,-21.13
2727.89,-21.13
2727.89,-19.19
2727.9,-21.45
2727.9,-21.45
2727.9,-21.88
2727.9,-21.02
2727.9,-21.13
2727.9,-20.7
2727.9,-21.56
2727.91,-21.56
2727.91,-20.37
2727.92,-21.02
2727.92,-21.45
2727.92,-22.31
2727.92,-20.59
2727.92,-19.94
2727.92,-20.91
2727.92,-21.13
2727.92,-21.45
2727.92,-19.84
2727.92,-20.91
2727.93,-21.56
2727.93,-21.02
2727.93,-20.05
2727.93,-21.34
2727.93,-20.91
2727.93,-21.88
2727.93,-20.91
2727.93,-21.24
2727.93,-21.13
2727.94,-21.78
2727.94,-20.91
2727.94,-19.19
2727.94,-21.67
2727.94,-20.81
2727.94,-19.3
2727.94,-21.67
2727.94,-21.56
2727.94,-21.45
2727.95,-21.45
2727.96,-21.13
2727.96,-21.24
2727.96,-21.34
2727.96,-21.56
2727.96,-19.84
2727.96,-20.48
2727.96,-21.45
2727.96,-21.45
2727.96,-21.45
2727.97,-21.24
2727.97,-21.99
2727.97,-21.99
2727.97,-21.45
2727.97,-21.45
2727.97,-22.1
2727.97,-21.78
2727.97,-20.91
2727.97,-21.24
2727.98,-20.7
2727.98,-21.24
2727.98,-19.3
2727.98,-20.16
2727.98,-21.56
2727.98,-19.62
2727.98,-21.56
2727.98,-21.13
2727.98,-20.91
2727.99,-21.34
