=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:14:27 =~=~=~=~=~=~=~=~=~=~=~=
,28.89
10316.17,29.11
10316.17,29.43
10316.18,27.81
10316.18,29.00
10316.18,30.83
10316.18,28.14
10316.19,29.00
10316.19,29.32
10316.19,29.11
10316.19,29.11
10316.19,29.43
10316.20,29.32
10316.20,29.00
10316.20,28.67
10316.20,28.89
10316.20,29.86
10316.20,29.11
10316.20,29.43
10316.20,28.67
10316.20,28.57
10316.21,30.62
10316.21,28.78
10316.21,28.78
10316.21,29.00
10316.21,29.00
10316.21,29.11
10316.21,28.46
10316.21,29.11
10316.21,29.32
10316.22,28.89
10316.22,28.89
10316.22,29.11
10316.22,28.78
10316.22,28.89
10316.22,29.86
10316.22,29.11
10316.22,29.11
10316.22,28.24
10316.24,30.08
10316.24,29.21
10316.24,30.18
10316.24,28.46
10316.24,28.78
10316.24,29.00
10316.24,28.89
10316.24,28.67
10316.24,29.11
10316.24,29.21
10316.25,29.00
10316.25,28.78
10316.25,28.89
10316.25,28.67
10316.25,29.11
10316.25,29.86
10316.25,28.46
10316.25,29.11
10316.25,29.00
10316.26,29.00
10316.26,28.57
10316.26,29.00
10316.26,29.00
10316.26,28.67
10316.26,28.89
10316.26,28.67
10316.26,29.11
10316.26,29.11
10316.27,29.11
10316.27,28.57
10316.27,29.00
10316.27,30.51
10316.27,29.32
10316.27,29.00
10316.28,30.72
10316.28,29.00
10316.28,29.32
10316.29,29.75
10316.29,28.46
10316.29,28.67
10316.29,30.51
10316.29,28.89
10316.29,29.00
10316.29,28.67
10316.29,29.00
10316.29,28.67
10316.30,29.00
10316.30,29.21
10316.30,29.00
10316.30,30.62
10316.30,29.11
10316.30,28.78
10316.30,29.00
10316.30,28.57
10316.30,29.11
10316.30,29.00
10316.31,28.67
10316.31,28.67
10316.31,28.89
10316.31,30.72
10316.31,29.32
10316.31,29.65
10316.31,28.89
10316.31,28.03
10316.31,28.78
10316.32,29.43
10316.32,30.51
10316.33,29.54
10316.33,29.11
10316.33,28.89
10316.33,30.40
10316.33,28.89
10316.33,29.11
