=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.12.05 23:00:12 =~=~=~=~=~=~=~=~=~=~=~=
,-0.54
9460.66,-1.83
9460.66,-1.62
9460.66,-0.11
9460.67,-1.51
9460.67,-1.62
9460.67,-1.72
9460.67,-0.97
9460.67,-1.51
9460.67,-1.51
9460.67,-1.83
9460.67,-1.94
9460.67,-0.86
9460.67,-1.29
9460.68,-1.83
9460.68,-1.83
9460.68,-1.51
9460.68,-0.43
9460.68,-1.40
9460.68,-1.29
9460.68,-1.40
9460.68,-2.48
9460.68,-1.72
9460.69,-1.40
9460.70,-1.40
9460.70,-2.16
9460.70,-0.54
9460.70,-1.94
9460.70,-1.62
9460.70,-1.83
9460.70,-0.32
9460.70,-1.29
9460.70,-1.40
9460.70,-0.54
9460.71,-0.22
9460.71,-0.97
9460.71,-1.94
9460.71,-0.75
9460.71,-1.19
9460.71,0.32
9460.71,-0.75
9460.71,-0.97
9460.71,-1.51
9460.71,0.22
9460.72,-0.54
9460.72,-1.62
9460.72,-1.72
9460.72,0.43
9460.72,-1.83
9460.72,-1.83
9460.72,-1.83
9460.72,-1.94
9460.72,-0.22
9460.72,-1.29
9460.73,-1.62
9460.74,0.54
9460.74,-1.72
9460.74,-0.22
9460.74,-1.94
9460.74,-0.86
9460.74,-1.62
9460.74,-0.86
9460.74,-1.83
9460.74,-0.86
9460.74,-1.83
9460.75,-1.40
9460.75,-1.83
9460.75,-0.32
9460.75,-1.19
9460.75,-1.83
9460.75,-1.94
9460.75,-1.29
9460.75,-1.40
9460.75,-1.72
9460.75,-1.62
9460.76,-1.94
9460.76,-1.40
9460.76,-1.29
9460.76,-1.62
9460.76,-1.40
9460.76,0.54
9460.76,-1.62
9460.76,-0.22
9460.76,-1.08
9460.76,-1.62
9460.77,-0.75
9460.78,-0.11
9460.78,-1.40
9460.78,-1.40
9460.78,-1.51
9460.78,-0.43
9460.78,-1.08
9460.78,-1.72
9460.78,-1.83
9460.78,-0.54
9460.79,-1.83
9460.79,-1.51
9460.79,-1.83
9460.79,-1.83
9460.79,-1.19
9460.79,-1.51
9460.79,-1.62
9460.79,-1.83
9460.79,-0.86
9460.79,-1.83
9460.80,-1.94
9460.80,0.75
9460.80,-0.86
9460.80,0.00
9460.80,-0.54
9460.80,-1.62
9460.80,-1.62
9460.80,0.11
9460.80,-0.97
9460.80,-0.32
9460.80,-2.16
9460.81,-0.43
9460.81,-1.62
9460.82,-1.40
9460.82,-1.29
9460.82,-0.11
9460.82,0.43
9460.82,0.43
9460.82,-1.72
9460.82,-0.22
9460.82,-1.94
9460.83,-1.72
9460.83,-1.40
